FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,2:06:54.430,17,1,26
Esteban Ocon,31,+19.477,4,2,18
Pierre Gasly,10,+22.532,13,3,15
George Russell,63,+23.265,2,4,12
Charles Leclerc,16,+30.177,6,5,10
Lando Norris,4,+31.372,1,6,8
Yuki Tsunoda,22,+42.056,3,7,6
Oscar Piastri,81,+44.943,8,8,4
Liam Lawson,30,+50.452,5,9,2
Lewis Hamilton,44,+50.753,14,10,1
Sergio Perez,11,+51.531,12,11,0
Oliver Bearman,50,+57.085,15,12,0
Valtteri Bottas,77,+1:03.588,11,13,0
Fernando Alonso,14,+1:18.049,9,14,0
Guanyu Zhou,24,+1:19.649,19,15,0
Carlos Sainz,55,DNF,PLS,DNF,0
Franco Colapinto,43,DNF,16,DNF,0
Alexander Albon,23,DNS,DNS,DNS,0
Lance Stroll,18,DNS,DNS,DNS,0
Nico Hulkenberg,27,DSQ,17,DSQ,0
