FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
George Russell,63,1:22:05.969,1,1,25
Lewis Hamilton,44,+7.313,10,2,18
Carlos Sainz,55,+11.906,2,3,15
Charles Leclerc,16,+14.283,4,4,12
Max Verstappen,1,+16.582,5,5,10
Lando Norris,4,+43.385,6,6,9
Oscar Piastri,81,+51.365,8,7,6
Nico Hulkenberg,27,+59.808,9,8,4
Yuki Tsunoda,22,+1:02.808,7,9,2
Sergio Perez,11,+1:03.114,15,10,1
Fernando Alonso,14,+1:09.195,16,11,0
Kevin Magnussen,20,+1:09.803,12,12,0
Guanyu Zhou,24,+1:14.085,13,13,0
Franco Colapinto,43,+1:15.172,PLS,14,0
Lance Stroll,18,+1:24.102,18,15,0
Liam Lawson,30,+1:31.005,14,16,0
Esteban Ocon,31,+1 Lap,11,17,0
Valtteri Bottas,77,+1 Lap,19,18,0
Alexander Albon,23,DNF,17,DNF,0
Pierre Gasly,10,DNF,3,DNF,0
