FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:25:16.938,1,1,26
Lando Norris,4,+3.798,2,2,18
Lewis Hamilton,44,+6.783,7,3,15
Oscar Piastri,81,+7.776,3,4,12
George Russell,63,+11.206,6,5,10
Sergio Perez,11,+12.882,15,6,8
Fernando Alonso,14,+17.193,9,7,6
Alexander Albon,23,+17.878,8,8,4
Charles Leclerc,16,+18.689,4,9,2
Carlos Sainz,55,+19.448,5,10,1
Logan Sargeant,2,+23.632,14,11,0
Valtteri Bottas,77,+25.830,20,12,0
Nico Hulkenberg,27,+26.663,11,13,0
Lance Stroll,18,+27.483,12,14,0
Guanyu Zhou,24,+29.820,17,15,0
Yuki Tsunoda,22,+31.225,16,16,0
Nyck De Vries,21,+33.128,18,17,0
Pierre Gasly,10,+1 Lap,10,18,0
Kevin Magnussen,20,DNF,19,DNF,0
Esteban Ocon,31,DNF,13,DNF,0
