FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:38:39.086,3,1,25
Lewis Hamilton,44,+16.555,2,2,18
Sergio Perez,11,+17.752,4,3,15
Pierre Gasly,10,+1:03.845,5,4,12
Charles Leclerc,16,+1:21.037,8,5,10
Carlos Sainz,55,+1 Lap,6,6,8
Sebastian Vettel,5,+1 Lap,9,7,6
Kimi Räikkönen,7,+1 Lap,10,8,4
Fernando Alonso,14,+1 Lap,12,9,2
Lando Norris,4,+1 Lap,18,10,1
Antonio Giovinazzi,99,+1 Lap,11,11,0
Daniel Ricciardo,3,+1 Lap,7,12,0
Esteban Ocon,31,+1 Lap,19,13,0
Lance Stroll,18,+1 Lap,20,14,0
Valtteri Bottas,77,+1 Lap,1,15,0
George Russell,63,+1 Lap,16,16,0
Nicholas Latifi,6,+1 Lap,13,17,0
Nikita Mazepin,9,+1 Lap,15,18,0
Mick Schumacher,47,DNF,14,DNF,0
Yuki Tsunoda,22,DNF,17,DNF,0
