FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Oscar Piastri,81,1:32:57.375,1,1,25
Lando Norris,4,+2.471,2,2,18
Charles Leclerc,16,+10.455,7,3,15
George Russell,63,+11.359,4,4,12
Nico Hulkenberg,27,+13.648,15,5,10
Lewis Hamilton,44,+15.508,5,6,8
Isack Hadjar,6,+16.022,9,7,6
Pierre Gasly,10,+17.882,8,8,4
Fernando Alonso,14,+21.564,10,9,2
Max Verstappen,1,+21.826,3,10,1
Liam Lawson,30,+25.532,13,11,0
Gabriel Bortoleto,5,+25.996,12,12,0
Yuki Tsunoda,22,+28.822,19,13,0
Carlos Sainz,55,+29.309,17,14,0
Franco Colapinto,43,+31.381,18,15,0
Esteban Ocon,31,+32.197,16,16,0
Oliver Bearman,87,+37.065,14,17,0
Kimi Antonelli,12,DNF,6,DNF,0
Alexander Albon,23,DNF,11,DNF,0
Lance Stroll,18,DNS,DNS,DNS,0
