FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:30:17.345,1,1,26
Lewis Hamilton,44,+2.256,2,2,18
Carlos Sainz,55,+5.173,5,3,15
Yuki Tsunoda,22,+5.692,8,4,12
Pierre Gasly,10,+6.531,12,5,10
Valtteri Bottas,77,+7.463,6,6,8
Lando Norris,4,+59.200,3,7,6
Fernando Alonso,14,+1:01.708,11,8,4
Esteban Ocon,31,+1:04.026,9,9,2
Charles Leclerc,16,+1:06.057,7,10,1
Sebastian Vettel,5,+1:07.527,15,11,0
Daniel Ricciardo,3,+1 Lap,10,12,0
Lance Stroll,18,+1 Lap,13,13,0
Mick Schumacher,47,+1 Lap,19,14,0
Sergio Perez,11,+1 Lap,4,15,0
Nicholas Latifi,6,DNF,16,DNF,0
Antonio Giovinazzi,99,DNF,14,DNF,0
George Russell,63,DNF,17,DNF,0
Kimi Räikkönen,7,DNF,18,DNF,0
Nikita Mazepin,9,DNS,DNS,DNS,0
