FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:29:08.289,2,1,25
Charles Leclerc,16,+2.070,1,2,18
Sergio Perez,11,+2.241,11,3,15
Esteban Ocon,31,+18.665,16,4,12
Lance Stroll,18,+20.067,19,5,10
Carlos Sainz,55,+20.834,12,6,8
Lewis Hamilton,44,+21.755,10,7,6
George Russell,63,+23.091,3,8,4
Fernando Alonso,14,+25.964,9,9,2
Oscar Piastri,81,+29.496,18,10,2
Pierre Gasly,10,+34.270,4,11,0
Alexander Albon,23,+43.398,5,12,0
Kevin Magnussen,20,+44.825,8,13,0
Daniel Ricciardo,3,+48.525,14,14,0
Guanyu Zhou,24,+50.162,17,15,0
Logan Sargeant,2,+50.882,6,16,0
Valtteri Bottas,77,+1:25.350,7,17,0
Yuki Tsunoda,22,+1 Lap,20,18,0
Nico Hulkenberg,27,+1 Lap,13,19,0
Lando Norris,4,DNF,15,DNF,0
