FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,1:22:27.059,2,1,25
Max Verstappen,1,+1.465,4,2,18
Lando Norris,4,+7.547,3,3,15
Oscar Piastri,81,+12.429,5,4,12
Carlos Sainz,55,+47.318,7,5,11
Nico Hulkenberg,27,+55.722,6,6,8
Lance Stroll,18,+56.569,8,7,6
Fernando Alonso,14,+1:03.577,10,8,4
Alexander Albon,23,+1:08.387,9,9,2
Yuki Tsunoda,22,+1:19.303,13,10,1
Logan Sargeant,2,+1:28.960,12,11,0
Kevin Magnussen,20,+1:30.153,17,12,0
Daniel Ricciardo,3,+1 Lap,15,13,0
Charles Leclerc,16,+1 Lap,11,14,0
Valtteri Bottas,77,+1 Lap,16,15,0
Esteban Ocon,31,+1 Lap,18,16,0
Sergio Perez,11,+1 Lap,PLS,17,0
Guanyu Zhou,24,+1 Lap,14,18,0
George Russell,63,DNF,1,DNF,0
Pierre Gasly,10,DNS,DNS,DNS,0
