FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:20:27.511,7,1,25
Charles Leclerc,16,+2.446,1,2,18
George Russell,63,+3.405,2,3,15
Carlos Sainz,55,+5.061,18,4,12
Lewis Hamilton,44,+5.380,19,5,10
Sergio Perez,11,+6.091,13,6,9
Lando Norris,4,+6.207,3,7,6
Pierre Gasly,10,+6.396,5,8,4
Nyck De Vries,45,+7.122,8,9,2
Guanyu Zhou,24,+7.910,9,10,1
Esteban Ocon,31,+8.323,14,11,0
Mick Schumacher,47,+8.549,17,12,0
Valtteri Bottas,77,+1 Lap,15,13,0
Yuki Tsunoda,22,+1 Lap,20,14,0
Nicholas Latifi,6,+1 Lap,10,15,0
Kevin Magnussen,20,+1 Lap,16,16,0
Daniel Ricciardo,3,DNF,4,DNF,0
Lance Stroll,18,DNF,12,DNF,0
Fernando Alonso,14,DNF,6,DNF,0
Sebastian Vettel,5,DNF,11,DNF,0
