FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Carlos Sainz,55,2:17:50.311,1,1,25
Sergio Perez,11,+3.779,4,2,18
Lewis Hamilton,44,+6.225,5,3,16
Charles Leclerc,16,+8.546,3,4,12
Fernando Alonso,14,+9.571,7,5,10
Lando Norris,4,+11.943,6,6,8
Max Verstappen,1,+18.777,2,7,6
Mick Schumacher,47,+18.995,19,8,4
Sebastian Vettel,5,+22.356,18,9,2
Kevin Magnussen,20,+24.590,17,10,1
Lance Stroll,18,+26.147,20,11,0
Nicholas Latifi,6,+32.511,10,12,0
Daniel Ricciardo,3,+32.817,14,13,0
Yuki Tsunoda,22,+40.910,13,14,0
Esteban Ocon,31,DNF,15,DNF,0
Pierre Gasly,10,DNF,11,DNF,0
Valtteri Bottas,77,DNF,12,DNF,0
George Russell,63,DNF,8,DNF,0
Guanyu Zhou,24,DNF,9,DNF,0
Alexander Albon,23,DNF,16,DNF,0
