FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
George Russell,63,30:11.307,3,1,8
Carlos Sainz,55,+3.995,5,2,7
Lewis Hamilton,44,+4.492,8,3,6
Max Verstappen,1,+10.494,2,4,5
Sergio Perez,11,+11.855,9,5,4
Charles Leclerc,16,+13.133,10,6,3
Lando Norris,4,+25.624,4,7,2
Kevin Magnussen,20,+28.768,1,8,1
Sebastian Vettel,5,+30.218,13,9,0
Pierre Gasly,10,+34.170,12,10,0
Daniel Ricciardo,3,+39.395,14,11,0
Mick Schumacher,47,+41.159,20,12,0
Guanyu Zhou,24,+41.763,17,13,0
Valtteri Bottas,77,+42.338,18,14,0
Yuki Tsunoda,22,+50.306,19,15,0
Lance Stroll,18,+50.700,15,16,0
Esteban Ocon,31,+51.756,6,17,0
Fernando Alonso,14,+53.985,7,18,0
Nicholas Latifi,6,+1:16.850,16,19,0
Alexander Albon,23,DNF,11,DNF,0
