FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Charles Leclerc,16,2:23:15.554,1,1,25
Oscar Piastri,81,+7.152,2,2,18
Carlos Sainz,55,+7.585,3,3,15
Lando Norris,4,+8.650,4,4,12
George Russell,63,+13.309,5,5,10
Max Verstappen,1,+13.853,6,6,8
Lewis Hamilton,44,+14.908,7,7,7
Yuki Tsunoda,22,+1 Lap,8,8,4
Alexander Albon,23,+1 Lap,9,9,2
Pierre Gasly,10,+1 Lap,10,10,1
Fernando Alonso,14,+1 Lap,14,11,0
Daniel Ricciardo,3,+1 Lap,12,12,0
Valtteri Bottas,77,+1 Lap,17,13,0
Lance Stroll,18,+1 Lap,13,14,0
Logan Sargeant,2,+1 Lap,15,15,0
Guanyu Zhou,24,+1 Lap,18,16,0
Esteban Ocon,31,DNF,11,DNF,0
Sergio Perez,11,DNF,16,DNF,0
Nico Hulkenberg,27,DNF,19,DNF,0
Kevin Magnussen,20,DNF,20,DNF,0
