FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Sergio Perez,11,1:56:30.265,3,1,25
Carlos Sainz,55,+1.154,2,2,18
Max Verstappen,1,+1.491,4,3,15
Charles Leclerc,16,+2.922,1,4,12
George Russell,63,+11.968,6,5,10
Lando Norris,4,+12.231,5,6,9
Fernando Alonso,14,+46.358,7,7,6
Lewis Hamilton,44,+50.388,8,8,4
Valtteri Bottas,77,+52.525,12,9,2
Sebastian Vettel,5,+53.536,9,10,1
Pierre Gasly,10,+54.289,17,11,0
Esteban Ocon,31,+55.644,10,12,0
Daniel Ricciardo,3,+57.635,14,13,0
Lance Stroll,18,+1:00.802,18,14,0
Nicholas Latifi,6,+1 Lap,19,15,0
Guanyu Zhou,24,+1 Lap,20,16,0
Yuki Tsunoda,22,+1 Lap,11,17,0
Alexander Albon,23,DNF,16,DNF,0
Mick Schumacher,47,DNF,15,DNF,0
Kevin Magnussen,20,DNF,13,DNF,0
