FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,1:34:31.421,2,1,25
Max Verstappen,33,+29.148,3,2,18
Valtteri Bottas,77,+33.530,1,3,16
Sergio Perez,11,+39.735,4,4,12
Lando Norris,4,+51.369,7,5,10
Charles Leclerc,16,+55.781,8,6,8
Esteban Ocon,31,+1:03.749,6,7,6
Fernando Alonso,14,+1:04.808,13,8,4
Daniel Ricciardo,3,+1:15.369,16,9,2
Pierre Gasly,10,+1:16.463,9,10,1
Carlos Sainz,55,+1:18.955,5,11,0
Antonio Giovinazzi,99,+1 Lap,12,12,0
Sebastian Vettel,5,+1 Lap,10,13,0
Lance Stroll,18,+1 Lap,17,14,0
Yuki Tsunoda,22,+1 Lap,14,15,0
George Russell,63,+1 Lap,11,16,0
Mick Schumacher,47,+1 Lap,19,17,0
Nicholas Latifi,6,+1 Lap,18,18,0
Nikita Mazepin,9,+1 Lap,20,19,0
Kimi Räikkönen,7,DNF,15,DNF,0
