FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lando Norris,4,1:37:15.735,3,1,25
Oscar Piastri,81,+6.812,2,2,18
Nico Hulkenberg,27,+34.742,19,3,15
Lewis Hamilton,44,+39.812,5,4,12
Max Verstappen,1,+56.781,1,5,10
Pierre Gasly,10,+59.857,8,6,8
Lance Stroll,18,+1:00.603,17,7,6
Alexander Albon,23,+1:04.135,13,8,4
Fernando Alonso,14,+1:05.858,7,9,2
George Russell,63,+1:10.674,PLS,10,1
Oliver Bearman,87,+1:12.095,PLS,11,0
Carlos Sainz,55,+1:16.592,9,12,0
Esteban Ocon,31,+1:17.301,14,13,0
Charles Leclerc,16,+1:24.477,PLS,14,0
Yuki Tsunoda,22,+1 lap,11,15,0
Kimi Antonelli,12,DNF,10,DNF,0
Isack Hadjar,6,DNF,PLS,DNF,0
Gabriel Bortoleto,5,DNF,PLS,DNF,0
Liam Lawson,30,DNF,15,DNF,0
Franco Colapinto,43,DNS,DNS,DNS,0
