FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
George Russell,63,1:24:22.798,3,1,25
Oscar Piastri,81,+1.906,7,2,18
Carlos Sainz,55,+4.533,4,3,15
Lewis Hamilton,44,+23.142,5,4,12
Max Verstappen,1,+37.253,1,5,10
Nico Hulkenberg,27,+54.088,9,6,8
Sergio Perez,11,+54.672,8,7,6
Kevin Magnussen,20,+1:00.355,12,8,4
Daniel Ricciardo,3,+1:01.169,11,9,2
Pierre Gasly,10,+1:01.766,13,10,1
Charles Leclerc,16,+1:07.056,6,11,0
Esteban Ocon,31,+1:08.325,10,12,0
Lance Stroll,18,+1 Lap,17,13,0
Yuki Tsunoda,22,+1 Lap,14,14,0
Alexander Albon,23,+1 Lap,16,15,0
Valtteri Bottas,77,+1 Lap,18,16,0
Guanyu Zhou,24,+1 Lap,20,17,0
Fernando Alonso,14,+1 Lap,15,18,0
Logan Sargeant,2,+1 Lap,19,19,0
Lando Norris,4,+1 Lap,2,20,0
