FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:26:07.469,1,1,25
Oscar Piastri,81,+12.594,3,2,18
Lando Norris,4,+16.572,2,3,15
Charles Leclerc,16,+23.279,5,4,12
George Russell,63,+48.563,4,5,10
Fernando Alonso,14,+1:07.562,6,6,8
Esteban Ocon,31,+1:09.876,8,7,6
Lewis Hamilton,44,+1:12.670,16,8,4
Nico Hulkenberg,27,+1:19.014,18,9,2
Lance Stroll,18,+1:19.523,15,10,1
Gabriel Bortoleto,5,+1:21.043,7,11,0
Oliver Bearman,87,+1:21.166,11,12,0
Carlos Sainz,55,+1:22.158,12,13,0
Yuki Tsunoda,22,+1:23.794,10,14,0
Kimi Antonelli,12,+1:24.399,14,15,0
Alexander Albon,23,+1:30.327,17,16,0
Isack Hadjar,6,+1 lap,9,17,0
Liam Lawson,30,+1 lap,13,18,0
Pierre Gasly,10,+1 lap,19,19,0
Franco Colapinto,43,+1 lap,20,20,0
