FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:25:25.252,1,1,25
Lando Norris,4,+0.725,2,2,18
Charles Leclerc,16,+7.916,3,3,15
Oscar Piastri,81,+14.132,5,4,12
Carlos Sainz,55,+22.325,4,5,10
Lewis Hamilton,44,+35.104,8,6,8
George Russell,63,+47.154,6,7,7
Sergio Perez,11,+54.776,11,8,4
Lance Stroll,18,+1:19.556,13,9,2
Yuki Tsunoda,22,+1 Lap,7,10,1
Nico Hulkenberg,27,+1 Lap,10,11,0
Kevin Magnussen,20,+1 Lap,18,12,0
Daniel Ricciardo,3,+1 Lap,9,13,0
Esteban Ocon,31,+1 Lap,12,14,0
Guanyu Zhou,24,+1 Lap,17,15,0
Pierre Gasly,10,+1 Lap,15,16,0
Logan Sargeant,2,+1 Lap,19,17,0
Valtteri Bottas,77,+1 Lap,16,18,0
Fernando Alonso,14,+1 Lap,20,19,0
Alexander Albon,23,DNF,14,DNF,0
