FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:13:41.143,2,1,25
Sergio Perez,11,+6.064,5,2,18
Carlos Sainz,55,+11.193,1,3,15
Charles Leclerc,16,+11.377,3,4,12
George Russell,63,+23.028,4,5,10
Lewis Hamilton,44,+42.679,8,6,8
Alexander Albon,23,+45.106,6,7,6
Lando Norris,4,+45.449,9,8,4
Fernando Alonso,14,+46.294,10,9,2
Valtteri Bottas,77,+1:04.056,14,10,1
Liam Lawson,40,+1:10.638,12,11,0
Oscar Piastri,81,+1:13.074,7,12,0
Logan Sargeant,2,+1:18.557,15,13,0
Guanyu Zhou,24,+1:20.164,16,14,0
Pierre Gasly,10,+1:22.510,17,15,0
Lance Stroll,18,+1:27.266,20,16,0
Nico Hulkenberg,27,+1 Lap,13,17,0
Kevin Magnussen,20,+1 Lap,19,18,0
Esteban Ocon,31,DNF,18,DNF,0
Yuki Tsunoda,22,DNS,DNS,DNS,0
