FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:40:52.554,1,1,25
Lando Norris,4,+13.773,4,2,18
Sergio Perez,11,+19.160,2,3,15
Charles Leclerc,16,+23.623,6,4,12
Carlos Sainz,55,+33.983,7,5,10
George Russell,63,+38.724,8,6,8
Fernando Alonso,14,+43.414,3,7,7
Oscar Piastri,81,+56.198,5,8,4
Lewis Hamilton,44,+57.986,18,9,2
Nico Hulkenberg,27,+1:00.476,9,10,1
Esteban Ocon,31,+1:02.812,13,11,0
Alexander Albon,23,+1:05.506,14,12,0
Pierre Gasly,10,+1:09.223,15,13,0
Guanyu Zhou,24,+1:11.689,16,14,0
Lance Stroll,18,+1:22.786,11,15,0
Kevin Magnussen,20,+1:27.533,17,16,0
Logan Sargeant,2,+1:35.110,20,17,0
Daniel Ricciardo,3,DNF,12,DNF,0
Yuki Tsunoda,22,DNF,19,DNF,0
Valtteri Bottas,77,DNF,10,DNF,0
