FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Lewis Hamilton,44,30:39.965,1,1,8
Oscar Piastri,81,+6.889,3,2,7
Max Verstappen,1,+9.804,2,3,6
George Russell,63,+11.592,5,4,5
Charles Leclerc,16,+12.190,4,5,4
Yuki Tsunoda,22,+22.288,8,6,3
Kimi Antonelli,12,+23.038,7,7,2
Lando Norris,4,+23.471,6,8,1
Lance Stroll,18,+24.916,10,9,0
Fernando Alonso,14,+38.218,11,10,0
Alexander Albon,23,+39.292,9,11,0
Pierre Gasly,10,+39.649,17,12,0
Isack Hadjar,6,+42.400,15,13,0
Liam Lawson,30,+44.904,19,14,0
Oliver Bearman,87,+45.649,12,15,0
Esteban Ocon,31,+46.182,18,16,0
Carlos Sainz,55,+51.376,13,17,0
Gabriel Bortoleto,5,+53.940,14,18,0
Nico Hulkenberg,27,+56.682,20,19,0
Jack Doohan,7,+1:10.212,16,20,0
