FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,31:31.383,1,1,8
Charles Leclerc,16,+3.371,2,2,7
Sergio Perez,11,+5.095,3,3,6
Daniel Ricciardo,3,+14.971,4,4,5
Carlos Sainz,55,+15.222,5,5,4
Oscar Piastri,81,+15.750,6,6,3
Nico Hulkenberg,27,+22.054,10,7,2
Yuki Tsunoda,22,+29.816,15,8,1
Pierre Gasly,10,+31.880,16,9,0
Logan Sargeant,2,+34.355,18,10,0
Guanyu Zhou,24,+35.078,17,11,0
George Russell,63,+35.755,11,12,0
Alexander Albon,23,+36.086,20,13,0
Valtteri Bottas,77,+36.892,19,14,0
Esteban Ocon,31,+37.740,13,15,0
Lewis Hamilton,44,+49.347,12,16,0
Fernando Alonso,14,+59.409,8,17,0
Kevin Magnussen,20,+1:06.303,14,18,0
Lance Stroll,18,DNF,7,DNF,0
Lando Norris,4,DNF,9,DNF,0
