FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:32:07.986,1,1,26
Sergio Perez,11,+16.527,3,2,18
Lando Norris,4,+34.834,5,3,15
George Russell,63,+42.506,11,4,12
Valtteri Bottas,77,+43.181,7,5,10
Charles Leclerc,16,+56.072,2,6,8
Yuki Tsunoda,22,+1:01.110,12,7,6
Sebastian Vettel,5,+1:10.892,13,8,4
Kevin Magnussen,20,+1:15.260,8,9,2
Lance Stroll,18,+1 Lap,15,10,1
Alexander Albon,23,+1 Lap,18,11,0
Pierre Gasly,10,+1 Lap,17,12,0
Lewis Hamilton,44,+1 Lap,14,13,0
Esteban Ocon,31,+1 Lap,16,14,0
Guanyu Zhou,24,+1 Lap,PLS,15,0
Nicholas Latifi,6,+1 Lap,19,16,0
Mick Schumacher,47,+1 Lap,10,17,0
Daniel Ricciardo,3,+1 Lap,6,18,0
Fernando Alonso,14,DNF,9,DNF,0
Carlos Sainz,55,DNF,4,DNF,0
