FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,1,1:38:08.634,2,1,26
Lando Norris,4,+33.731,3,2,18
Sergio Perez,11,+37.603,9,3,15
Lewis Hamilton,44,+39.134,1,4,12
Oscar Piastri,81,+1:02.572,4,5,10
George Russell,63,+1:05.825,18,6,8
Charles Leclerc,16,+1:10.317,6,7,6
Carlos Sainz,55,+1:11.073,11,8,4
Fernando Alonso,14,+1:15.709,8,9,2
Lance Stroll,18,+1 Lap,14,10,1
Alexander Albon,23,+1 Lap,16,11,0
Valtteri Bottas,77,+1 Lap,7,12,0
Daniel Ricciardo,3,+1 Lap,13,13,0
Nico Hulkenberg,27,+1 Lap,10,14,0
Yuki Tsunoda,22,+1 Lap,17,15,0
Guanyu Zhou,24,+1 Lap,5,16,0
Kevin Magnussen,20,+1 Lap,19,17,0
Logan Sargeant,2,DNF,20,DNF,0
Esteban Ocon,31,DNF,12,DNF,0
Pierre Gasly,10,DNF,15,DNF,0
