FullName,Number,Time,GridPosition,ClassifiedPosition,PointsOfficial
Max Verstappen,33,1:22:18.925,1,1,25
Lewis Hamilton,44,+35.743,2,2,19
Valtteri Bottas,77,+46.907,5,3,15
Sergio Perez,11,+47.434,4,4,12
Lando Norris,4,+1 Lap,3,5,10
Carlos Sainz,55,+1 Lap,12,6,8
Charles Leclerc,16,+1 Lap,7,7,6
Lance Stroll,18,+1 Lap,9,8,4
Fernando Alonso,14,+1 Lap,8,9,2
Yuki Tsunoda,22,+1 Lap,11,10,1
Kimi Räikkönen,7,+1 Lap,18,11,0
Sebastian Vettel,5,+1 Lap,14,12,0
Daniel Ricciardo,3,+1 Lap,13,13,0
Esteban Ocon,31,+1 Lap,17,14,0
Antonio Giovinazzi,99,+1 Lap,15,15,0
Mick Schumacher,47,+1 Lap,19,16,0
Nicholas Latifi,6,+1 Lap,16,17,0
Nikita Mazepin,9,+1 Lap,20,18,0
George Russell,63,DNF,10,DNF,0
Pierre Gasly,10,DNF,6,DNF,0
